id,name,nrate,pic_url
147949,One Night Ultimate Werewolf,14544,https://cf.geekdo-images.com/micro/img/5E43C7RoukW7MV0ZL9W0KEFioHQ=/fit-in/64x64/pic1809823.jpg
122515,Keyflower,14306,https://cf.geekdo-images.com/micro/img/PKp4Tospdm7g6mhvkTcAkS1DZf4=/fit-in/64x64/pic2278942.jpg
62219,Dominant Species,14284,https://cf.geekdo-images.com/micro/img/m3xZgClHrr9_HyQvKUrBqc44noE=/fit-in/64x64/pic784193.jpg
24480,The Pillars of the Earth,14174,https://cf.geekdo-images.com/micro/img/7p-J1U_qg74s43iskWfaBsSuE2g=/fit-in/64x64/pic3691155.jpg
926,Catan: Cities & Knights,14168,https://cf.geekdo-images.com/micro/img/2CmbUX4fTfEkT7pA503fntngLYs=/fit-in/64x64/pic2420315.jpg
54998,Cyclades,14045,https://cf.geekdo-images.com/micro/img/VQ6ir3UXk1ZBStECZLkAkbywZbM=/fit-in/64x64/pic584779.jpg
1294,Clue,13980,https://cf.geekdo-images.com/micro/img/aDRnYTYiOOaZ-l6lPDHtiS9_1Vg=/fit-in/64x64/pic884234.jpg
432,6 nimmt!,13848,https://cf.geekdo-images.com/micro/img/dX4RFqIoCPBh5f1RbQg4Ms8zzzs=/fit-in/64x64/pic2602138.jpg
123540,Tokaido,13833,https://cf.geekdo-images.com/micro/img/97T4HUViCuIHRuFz5D9iqU7Yn_Y=/fit-in/64x64/pic3747956.png
37904,Formula D,13816,https://cf.geekdo-images.com/micro/img/x0hoXoIr6LTn6mQpcqKrucJzUgU=/fit-in/64x64/pic519914.jpg
9674,Ingenious,13779,https://cf.geekdo-images.com/micro/img/unsAh49Yc9AE7KjlSDTeamXd0eA=/fit-in/64x64/pic3958804.jpg
555,The Princes of Florence,13716,https://cf.geekdo-images.com/micro/img/YkudfxQHh7lm5aH8x6DyNvjm6fg=/fit-in/64x64/pic1306997.jpg
193738,Great Western Trail,13650,https://cf.geekdo-images.com/micro/img/NxP_qsKxBHNXSN11Zt75nv2oW_U=/fit-in/64x64/pic3113247.jpg
143741,BANG! The Dice Game,13620,https://cf.geekdo-images.com/micro/img/DRTvdFiiQH4lNCg0pepKyQG-ljw=/fit-in/64x64/pic2909713.jpg
40849,Pandemic: On the Brink,13604,https://cf.geekdo-images.com/micro/img/DzjXWY9Ar33h8QhsT63KBvDyJSQ=/fit-in/64x64/pic1546621.jpg
15512,Diamant,13573,https://cf.geekdo-images.com/micro/img/STiOeKgXR_ICVIkdqfsIGU3r_yQ=/fit-in/64x64/pic3581963.jpg
258,Fluxx,13519,https://cf.geekdo-images.com/micro/img/Gw-_BCrkp92Z479hn68X-yc_fto=/fit-in/64x64/pic2405641.jpg
62871,Zombie Dice,13479,https://cf.geekdo-images.com/micro/img/IAUSPEp53jvzHEkpMTk5XQ5NoWY=/fit-in/64x64/pic2664015.jpg
166384,Spyfall,13471,https://cf.geekdo-images.com/micro/img/-1l8-mEuSZ4DnQuo3FUnZ7hJMi4=/fit-in/64x64/pic2453926.jpg
73439,Troyes,13415,https://cf.geekdo-images.com/micro/img/EAuLd0zBvqsbna2LXrlTUsdzUew=/fit-in/64x64/pic750583.jpg
187645,Star Wars: Rebellion,13397,https://cf.geekdo-images.com/micro/img/KR1jw0e94sdGnSh2QmhtKbxD7Gg=/fit-in/64x64/pic2737530.png
5405,Carcassonne: Expansion 2 – Traders & Builders,13376,https://cf.geekdo-images.com/micro/img/qAEmZ3StS3MR3_uXnDeq9jtW0lc=/fit-in/64x64/pic2659946.jpg
204583,Kingdomino,13360,https://cf.geekdo-images.com/micro/img/kCv4_thrWAFzHR5e-KeTKMoQqFM=/fit-in/64x64/pic3132685.png
760,Battle Line,13334,https://cf.geekdo-images.com/micro/img/qkSltw2mtgC37aFhlXqtJGL2nso=/fit-in/64x64/pic149717.jpg
325,Catan: Seafarers,13330,https://cf.geekdo-images.com/micro/img/PaZPOODJwe3Ej4uUepKQ9uNExks=/fit-in/64x64/pic2420293.jpg
2471,Zombies!!!,13151,https://cf.geekdo-images.com/micro/img/345zG3jMxihPRtQc6pJDem9Q8wc=/fit-in/64x64/pic2290485.jpg
113294,Escape: The Curse of the Temple,13124,https://cf.geekdo-images.com/micro/img/nNDN7GLoV6ZTYQP08h1alRV2mMI=/fit-in/64x64/pic3328521.jpg
9217,Saint Petersburg,13068,https://cf.geekdo-images.com/micro/img/YhabeI1qX-qHHAHHQBxYwkR8k_o=/fit-in/64x64/pic246360.jpg
124708,Mice and Mystics,13009,https://cf.geekdo-images.com/micro/img/aOVkLD-DZCPnVElWfITsBBhCo5s=/fit-in/64x64/pic1312072.jpg
118,Modern Art,12956,https://cf.geekdo-images.com/micro/img/t43zebHHbStg0tx5ok2UJqN4WGY=/fit-in/64x64/pic3458036.png
113924,Zombicide,12923,https://cf.geekdo-images.com/micro/img/zvtTF9kSpowcfMvFLJ_Q4jmte3k=/fit-in/64x64/pic1196191.jpg
38453,Space Alert,12907,https://cf.geekdo-images.com/micro/img/UIR5SfQz2edQz54sjUuixsZDifg=/fit-in/64x64/pic384313.jpg
